participant.label,surprise,communication,stage,treated,E1,E12,E13,E2,E23,E3,mc,ms,b,a,ed,completion_time,wrong_answer_1,wrong_answer_2,participant.time_started_utc,comprehension,age_18_34,age_35_52,age_53_plus,female,high_education,high_income,married,parentship,high_temperature,high_usage,high_general_risk,high_weather_risk,high_accuracy,high_credibility
0e379132b6dab27b63921c941312840f,TRUE,interval,1,FALSE,33.5,66.5,66.5,33.5,66.5,33.5,0.665,0.335,0,0.0099999999999999,1,1220,6,6,2021-09-02T11:06:03.158054Z,rather yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
0e379132b6dab27b63921c941312840f,TRUE,interval,2,TRUE,33.5,66.5,65.5,33.5,66.5,33.5,0.661666666666667,0.335,0.0033333333333333,0.0199999999999998,1,1220,6,6,2021-09-02T11:06:03.158054Z,rather yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ca48f818955f9a22b31d290dc2a28723,TRUE,both,1,FALSE,39.5,69.5,6.5,39.5,69.5,39.5,0.485,0.395,0.12,0.73,63,750,0,0,2021-09-02T11:22:18.217598Z,rather yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
ca48f818955f9a22b31d290dc2a28723,TRUE,both,2,TRUE,39.5,69.5,69.5,39.5,69.5,39.5,0.695,0.395,-0.09,0.1,63,750,0,0,2021-09-02T11:22:18.217598Z,rather yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6ccf7afc080efce8a5d08fe2b3547b3e,FALSE,interval,1,FALSE,54.5,44.5,34.5,54.5,44.5,39.5,0.411666666666667,0.495,0.0933333333333334,1.25,35,3094,0,0,2021-09-02T11:25:21.759244Z,rather yes,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6ccf7afc080efce8a5d08fe2b3547b3e,FALSE,interval,2,TRUE,64.5,39.5,59.5,59.5,29.5,54.5,0.428333333333333,0.595,-0.0233333333333333,1.5,35,3094,0,0,2021-09-02T11:25:21.759244Z,rather yes,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
50a040bc4e4e9266a0f40b85fd4e4d0e,TRUE,both,1,FALSE,50.5,50.5,66.5,50.5,66.5,50.5,0.611666666666667,0.505,-0.116666666666667,0.68,44.0227214061103,1224,0,0,2021-09-02T11:36:03.178434Z,rather yes,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
50a040bc4e4e9266a0f40b85fd4e4d0e,TRUE,both,2,TRUE,50.5,79.5,66.5,79.5,66.5,66.5,0.708333333333333,0.655,-0.363333333333333,0.84,44.0227214061103,1224,0,0,2021-09-02T11:36:03.178434Z,rather yes,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
c1709a48b7d3e4a55aeaf6feb55eaf69,FALSE,both,1,FALSE,54.5,49.5,44.5,49.5,57.5,59.5,0.505,0.545,-0.05,1.12,25,743,0,0,2021-09-02T11:47:01.951868Z,rather not,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
c1709a48b7d3e4a55aeaf6feb55eaf69,FALSE,both,2,TRUE,46.5,49.5,54.5,44.5,51.5,39.5,0.518333333333333,0.435,0.0466666666666666,0.75,25,743,0,0,2021-09-02T11:47:01.951868Z,rather not,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
