"","participant.code","participant.time_started","participant.visited","participant.payoff","Baillon.1.review_weather","Baillon.1.review_instructions","Baillon.1.window_width","Baillon.1.window_height","Baillon.1.browser","Baillon.2.review_weather","Baillon.2.review_instructions","Baillon.3.review_weather","Baillon.3.review_instructions","Baillon.4.review_weather","Baillon.4.review_instructions","Baillon.5.review_weather","Baillon.5.review_instructions","Baillon.6.review_weather","Baillon.6.review_instructions","MPP.1.review_weather","MPP.1.review_instructions","postBaillon.1.review_weather","postBaillon.1.review_instructions","postBaillon.2.review_weather","postBaillon.2.review_instructions","postBaillon.3.review_weather","postBaillon.3.review_instructions","postBaillon.4.review_weather","postBaillon.4.review_instructions","postBaillon.5.review_weather","postBaillon.5.review_instructions","postBaillon.6.review_weather","postBaillon.6.review_instructions","postMPP.1.review_weather","postMPP.1.review_instructions","terminate.1.Age","terminate.1.Gender","terminate.1.Education","terminate.1.Income","terminate.1.Usage"
"1","dunkvj1r","2021-01-11 11:48:17.138225+00:00",1,0,2,3,16,9,"Chrome Test",2,1,1,1,1,4,1,1,1,4,1,4,1,0,1,0,1,0,1,0,1,0,2,0,1,0,93,"diverse","uni",48571,2
"2","jj73e1du","2021-01-11 11:48:17.198683+00:00",1,10,1,4,16,9,"Chrome Test",2,2,2,3,2,2,1,3,1,4,1,3,2,0,2,0,2,0,2,0,1,0,1,0,2,0,85,"diverse","uni",56871,4
"3","bo2gg97t","2021-01-11 11:48:17.233133+00:00",1,0,2,2,16,9,"Chrome Test",2,3,1,2,1,1,2,3,1,3,1,1,2,0,1,0,1,0,1,0,2,0,2,0,1,0,28,"diverse","uni",62497,5
"4","nfg2t4kf","2021-01-11 11:48:17.260659+00:00",1,0,2,2,16,9,"Chrome Test",2,1,2,4,2,2,1,4,1,2,2,4,1,0,2,0,2,0,2,0,2,0,2,0,2,0,60,"diverse","uni",57719,4
"5","1xgsiat1","2021-01-11 11:48:17.291145+00:00",1,10,1,4,16,9,"Chrome Test",2,1,1,2,1,3,1,1,1,4,1,3,1,0,1,0,2,0,2,0,2,0,1,0,1,0,24,"diverse","uni",56679,2
"6","0u96a4l2","2021-01-11 11:48:17.322994+00:00",1,10,1,2,16,9,"Chrome Test",1,1,2,1,2,4,2,3,1,1,1,4,1,0,2,0,1,0,2,0,2,0,2,0,2,0,36,"diverse","uni",46206,1
"7","pdk096jd","2021-01-11 11:48:17.352471+00:00",1,10,1,2,16,9,"Chrome Test",1,2,2,1,1,3,2,1,1,3,1,1,1,0,2,0,1,0,1,0,1,0,2,0,1,0,97,"diverse","uni",56192,1
"8","qr0mrozu","2021-01-11 11:48:17.382375+00:00",1,0,2,2,16,9,"Chrome Test",1,4,2,2,1,4,2,4,2,3,2,3,2,0,1,0,2,0,1,0,2,0,2,0,2,0,84,"diverse","uni",55252,1
"9","5zky1kdb","2021-01-11 11:48:17.410564+00:00",1,10,2,2,16,9,"Chrome Test",2,3,1,1,1,2,2,4,1,2,2,2,1,0,2,0,1,0,1,0,2,0,2,0,1,0,70,"diverse","uni",30404,5
"10","dcj3dw62","2021-01-11 11:48:17.438831+00:00",1,10,2,3,16,9,"Chrome Test",1,2,1,3,2,2,1,1,2,3,2,4,2,0,1,0,2,0,1,0,2,0,1,0,1,0,32,"diverse","uni",39662,1
"11","1y71c63g","2021-01-11 11:48:17.467848+00:00",1,0,2,1,16,9,"Chrome Test",2,4,2,2,1,1,2,3,1,3,2,1,1,0,1,0,1,0,2,0,1,0,1,0,1,0,41,"diverse","uni",30443,5
"12","rdplpwia","2021-01-11 11:48:17.495890+00:00",1,0,2,3,16,9,"Chrome Test",1,4,2,1,2,2,2,4,1,3,1,4,2,0,2,0,2,0,1,0,1,0,1,0,1,0,79,"diverse","uni",67539,2
"13","7qu3ufmv","2021-01-11 11:48:17.523640+00:00",1,0,1,4,16,9,"Chrome Test",2,3,1,4,2,4,2,4,1,2,2,3,2,0,2,0,1,0,2,0,2,0,1,0,1,0,26,"diverse","uni",57021,5
"14","z93yhpnq","2021-01-11 11:48:17.554038+00:00",1,0,1,4,16,9,"Chrome Test",2,2,1,3,1,1,2,4,1,3,2,3,1,0,1,0,2,0,2,0,1,0,1,0,1,0,88,"diverse","uni",57409,4
"15","ihj04dv0","2021-01-11 11:48:17.589991+00:00",1,0,2,2,16,9,"Chrome Test",2,3,1,1,2,1,1,3,2,3,1,3,1,0,2,0,1,0,1,0,2,0,1,0,1,0,97,"diverse","uni",43572,4
"16","fysjd68d","2021-01-11 11:48:17.621609+00:00",1,10,2,4,16,9,"Chrome Test",1,4,2,4,1,2,2,2,1,4,1,2,2,0,2,0,1,0,1,0,2,0,2,0,2,0,31,"diverse","uni",68314,1
"17","fadcyfth","2021-01-11 11:48:17.651513+00:00",1,10,1,4,16,9,"Chrome Test",1,1,2,1,1,2,2,4,1,2,2,1,2,0,2,0,2,0,2,0,1,0,2,0,1,0,62,"diverse","uni",33792,3
"18","ep92i2mx","2021-01-11 11:48:17.679964+00:00",1,10,1,4,16,9,"Chrome Test",1,1,2,4,1,3,1,3,2,3,1,3,2,0,2,0,2,0,1,0,2,0,1,0,1,0,49,"diverse","uni",55860,3
"19","uiahhg8s","2021-01-11 11:48:17.711567+00:00",1,10,1,1,16,9,"Chrome Test",2,3,1,3,2,1,2,3,2,2,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,88,"diverse","uni",55705,5
"20","db607iy2","2021-01-11 11:48:17.739658+00:00",1,0,2,1,16,9,"Chrome Test",2,1,1,4,2,2,2,3,1,2,2,3,2,0,2,0,2,0,2,0,1,0,2,0,1,0,70,"diverse","uni",49283,5
"21","bbmy43di","2021-01-11 11:48:17.771719+00:00",1,10,2,2,16,9,"Chrome Test",1,3,1,1,2,4,1,4,1,1,2,1,1,0,1,0,1,0,2,0,2,0,2,0,2,0,36,"diverse","uni",54845,2
"22","xgkkr2qj","2021-01-11 11:48:17.812880+00:00",1,10,1,1,16,9,"Chrome Test",2,3,1,2,1,4,2,2,1,3,2,2,1,0,2,0,2,0,1,0,1,0,2,0,2,0,94,"diverse","uni",52483,4
"23","jgnnks9k","2021-01-11 11:48:17.843864+00:00",1,10,1,3,16,9,"Chrome Test",1,1,2,1,1,1,2,1,2,2,2,1,1,0,2,0,1,0,1,0,2,0,1,0,2,0,45,"diverse","uni",68659,0
"24","n2y5iuz8","2021-01-11 11:48:17.881030+00:00",1,10,2,3,16,9,"Chrome Test",1,4,2,1,1,2,1,3,1,3,1,2,1,0,1,0,1,0,2,0,1,0,2,0,2,0,64,"diverse","uni",57347,0
"25","dqoypnw4","2021-01-11 11:48:17.915012+00:00",1,10,2,3,16,9,"Chrome Test",2,3,1,3,1,4,2,4,2,4,2,4,2,0,1,0,2,0,1,0,1,0,1,0,1,0,61,"diverse","uni",56752,0
"26","vcgs2gq0","2021-01-11 11:48:17.946040+00:00",1,10,1,1,16,9,"Chrome Test",2,1,1,4,2,3,2,1,1,4,2,2,1,0,1,0,1,0,2,0,1,0,1,0,1,0,61,"diverse","uni",66202,5
"27","vs36ngjs","2021-01-11 11:48:17.979484+00:00",1,10,1,1,16,9,"Chrome Test",1,4,1,2,2,1,1,2,2,2,1,2,2,0,2,0,1,0,1,0,2,0,2,0,2,0,33,"diverse","uni",60616,0
"28","caaejyul","2021-01-11 11:48:18.108774+00:00",1,10,1,2,16,9,"Chrome Test",2,4,1,1,1,3,2,2,2,3,2,2,2,0,1,0,1,0,1,0,1,0,1,0,1,0,91,"diverse","uni",54351,5
