tic,Sonderincentive
0e379132b6dab27b63921c941312840f,10
ca48f818955f9a22b31d290dc2a28723,10
6ccf7afc080efce8a5d08fe2b3547b3e,10
50a040bc4e4e9266a0f40b85fd4e4d0e,10
c1709a48b7d3e4a55aeaf6feb55eaf69,0
79c8aa8a670d96b4afb54af9fca6e6a8,10
0c42458206b38f6b28125c23ac8fbd8b,10
420284305a7126b1c1c27dd99fc7e6e4,0
7fdb832c62e5065f1a87b11fe0db214e,10
b75d4dcfd8ca9ebf67567b1574af385f,0
050f10cbd2017f6909aac38e7a8b4f31,10
459d269a415119ef96cf16780ecfcefe,10
409eef2470d0b3faba216079e86673ae,0
d0a81e96284c7076c57149b5849b9228,0
4534d2bca553126257105dc285e7ebc8,10
587c7fa3ab3b6712232aa77d34d5e960,10
91a40ed1a5ad382d21547929d091e9f3,10
1b09042adc396e580c03bd3662949f6f,0
91c5b63c0ce8a5177e01d7a1bbeda549,10
6a0bbc0dff47f3ff549e38a5ae5b9d4a,10
ba706d8de622f2a76a8d6000e36eff71,0
d5e1fb900e41298bf5cd592224dfae0d,0
2f5941f169030fb235172bdd40c4b95d,0
6c889df6056782d1699f00726a4bdbef,10
13597e0b2de3e0b654acd5165b6e9e3d,0
d5e8e32a7be2fa6e99068c70c15e05b0,10
ff4df2cccd52a493da029cfe662e8a07,10
25a18871f8c7ce3f9f61c13510385a09,10
a77d1cc2421314892fc693032dad6514,0
c6ce049b082bbf07c958bb84e08e6438,10
a8ae8c64f88ea155fc7ed53e74706bdb,0
b60e67350b281cc3cef9ef52c0946c72,10
08dc13660d20537816f54b38cc283b8b,0
c904ee87be22eb12b2afdc94790a8cec,10
4454ca044c74d444401e99354c1e2f5f,0
b0e9620aa9fe2d12ce05b8144df10046,10
a204c88dadc0ec3b115562eaeec068a8,10
25ef47478e835c4194aad2dd5b373b4e,0
178387751e848e3703cdba08c529cef9,10
d71dd4df45223c886d365eb367c25153,0
cf9bfa5c30c058efc1c467081b1f857c,0
62694c5136e6c6c28a286cc3b758eb86,10
2345fbeaf4bbbe983529ecccc4600c30,10
455ac02524cfdd6d52bf14b2a0f8d3f7,10
c49eed9bc46907a38ee28c37ef444f3d,10
3657d7754c646d93c85dff1a4ef26f4b,0
d85f6dc4e8296dd1025fbd4203c4870a,0
d04505f7da4b0d40ccb260f5175122f1,10
175a0043ae15b4388cef3ccab0d17143,0
5d61dbe8696e089028b9dc18f4326171,10
6b8cfde6bfc7d5a2f2bcb809693d9bda,10
27fd37a28825171f10d5834d129d99b9,0
86b11eae68538ce50c5bb0d3226d4062,0
07c22971ce6d806dbafb831f2adc684f,10
41eaacf68b46a2a64598872cd7326b68,10
5744236ff739e5ccd0ec6d3404fff8c8,10
db35a91cb04589c5230fbe6f9694f738,0
d696e74f31924f273bee01e5cd9f5965,10
97e13f0576551cc0661e1ef14c1c6de6,10
e114f6c9356a166556c389c8e5c73a10,10
e365ead9fb660252660fdf67d5cc3b57,10
e4ff06f9692dbe9b9a25e8df30ff4ac3,10
99fa25aa3152c4c5ad8d4d23e745d7dd,10
d52d5411fc944090464dce43948c33a2,10
323d244e4f2832e43876c7bcf16a7513,0
66cdd2c135c6c2b593199aa475e05a87,10
912e7b19f63ab73784b612b2646808e3,0
7ed0a6461d2f6f3cd6cbd6427004e33e,0
63110027c58b760da0b7e1d967683dab,10
08a8680acf9eb34963edcc1f9e846aaf,0
afda00fddedb6183472f63b7f674a3e1,0
604426bac09a26a9c2cb3d8b0303fab6,10
e45ac50c30bd9c547d7177b403c5e11d,0
614174c6b81896018c109cc977154fcb,0
93cdacf53a89a6b810612e77b5d01879,10
658480cabf7d0d54348c450d6eab7554,0
a7e3e333ea99e88ce7b6be0e587f452e,0
f7ee1d30e3b470666bc883c27ae9a021,10
dee77f8797e658d2f2df062fd60476fb,0
d32b32f5c668bb76cc44c7f38286606f,0
68da8d74104bd186e6eb178e3715866e,10
922b69d4609f133740b5a393e2b24240,0
1e7b7963f7273adb118b710772be1a01,10
4cea8e1271e0e80aa22575e5e60fe948,0
113eb44bf380cc260e4bdab94b747714,10
68116564f63696345574badbe92c06da,10
770f9dd415a748714e599dbd4ed0dcec,10
0b64254a01366694887ed3400fc2e78f,0
4658e782e8de3d767dc787b2ea12c741,0
5c1b0a5d51384075920ce441f4d34c8f,0
57463287b2e8a141ccb04b316c7b2f1c,0
e2c3794fd464a16deeccd030d068eba9,10
d4c683f6a186016d47fb9a4ffa406dbc,0
b4a0e060336e3153113d08510ccf57b4,10
6174bc4a719a8a5de5a6c78ae94ff91b,0
d6854fb4cd9220e1d5fb22a8ceae48b2,10
89ad246e7e53ce872f82f5eb5590f126,10
cca908cc641c7839fb9dcbb327569cb7,0
6d6eadca0c78a96aaf87cc5f227fb787,0
1b028fdc1d9fbb8163b2829feca26a58,10
dfbc4d38c4f12fa3248a16c0589e0b5e,0
3b3c90e0ba2a89b6f4954bc00d5a981f,10
6af74011a1fee06e51989d16ae912f13,10
b9ad5b8b6fd363bfb07f0cd1c38973ee,10
80c7b7625c5e1ecfa2bb5eee65a159f2,10
2101bfabad383ad47baa43f27ae62454,0
a0fc06dd02ca148ab2a19645289fd467,0
2707262d2486391b85be28e459694d77,10
65c1062c1198133c8042efd2a0ab5fbd,10
aa39d9e1277f3a5f8802ff623736550e,10
931ec314ad7b73cb124bcf8d8873b1a8,0
70330a44f2769bbaaea3382de7c702ce,0
dce744419371b0b1175af2a420515552,0
be2da0cd94d1ac7e7f2a251670fa3fe9,10
69e07e2d86982306a204b40c55094f18,10
da874d87229cf8b4e29d9fcfbfa8f313,10
23a0822b982cc1b63bce4e0fe08b368b,10
366b49dd0992b77437f2306337c5f670,0
b6d990211b0e9baabf568227169c0955,10
3c323575d018b8bf6872c9b47dd71314,0
cf1921dbcfa692611e636f9277de5b9d,10
8a0c0b95e8af8f729fffc0f80ccaf8a7,10
d2a316ce5068e7ba5d62d6fb77d6f407,10
cc160590e8359752ed6dc5caa2ddc331,10
574c4e57a7e73a9b05c35556c133c5c4,0
3ccf3d02fb1c4f62989aac0a80734813,0
7de30d32c7cf70de746bb49c4ba4af5a,10
423c55f7a4dd18115a4ba8b20c1e2b27,10
0f67ee9015e2f676e6be4d227d4269a2,10
358ba6d864ff17aa4ea8c73279a27a73,10
fedb79889263e38fc8e8fc1292dd4a87,0
2f5630ac3a38c3c99a51288d985a3afd,10
d68b1182288400cd915c853aa402dd9e,10
2eb4069361fbb7650150fefd18a6b758,0
ab85a18d23675767873a15599f108e19,0
ff70d66dd02ed68f57cbc09a5677dea1,10
eed6ff6ae39211250ced7e13678a4e8b,0
41fd6336e8a46137985d65d15d220af2,10
87954c0feda8500b1e1ef37904bc186e,10
87e2dd16290dac770a170afb0d99d0dc,10
d6a292928e541ff019998d9f89a21c89,0
91771fd1717210bf94f6851a019d22c9,10
f0bab5c67638a6331f4de39a47fb0296,10
04ccd283cf2c5d3e7e89135b671eb474,0
fa9ca54ddea5f2883a4dc506c23dd85b,10
c7af18e59b13fb7435d8d9e31100c343,10
0083029654e908e04a0fb7a8ff8f2be1,10
87091a1bc22c7c720e799503be0677dc,10
e88b4050d508a2ae840483c87b0aee6e,0
9e501b27b396e604bbf336dd3d3771ee,0
4112ce93985c94cce39b011eea23921a,0
f8d406549978f3453a4f7639195cf316,10
c615196f6052b49a81068c54f1dfa46f,0
0356e79f082021750d35d4fd631f3d46,10
b6fc08c233639864e2c25cd18502b961,10
c9ad524978bbd37b48a94ed8ae65fbc3,10
6b00819e97bd33c72a07b6f92aa7e4f0,0
732d045acef63c38ca1cae84cc6e2fca,10
4822c5540c9816b74bf078ae526874ed,10
98c73bdb98085fe9888457e8884257fd,10
3f372a0167e228258cadc3536853458f,0
77bf669f39e50eed21798c32f2e57fc4,0
04536af9f53d8be08f1434adab491d7c,0
074bccf085224a7bef10dd8894603d1a,0
8db4f25b927c6bae9e96e2b539c71dd2,0
ced6a390b5e890ab1ab223a5803d7042,10
33e631c268776121e9f3124d394b73d5,0
