session_code,participant_code,app_name,page_name,page_index,page_submission,time_spent,completion_time
t2ciiflg,lcsgtdi5,,InitializeParticipant,0,1630580763,NA,1220
t2ciiflg,lcsgtdi5,Intro,Intro_Welcome,1,1630580772,9,1220
t2ciiflg,lcsgtdi5,Intro,Intro_Instructions,2,1630581577,805,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,3,1630581718,141,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,4,1630581736,18,1220
t2ciiflg,a437aind,,InitializeParticipant,0,1630581738,NA,750
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,5,1630581745,9,1220
t2ciiflg,a437aind,Intro,Intro_Welcome,1,1630581752,14,750
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,6,1630581755,10,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,7,1630581761,6,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,8,1630581771,10,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,9,1630581828,57,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,10,1630581835,7,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,11,1630581841,6,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,12,1630581850,9,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,13,1630581858,8,1220
t2ciiflg,lcsgtdi5,Baillon,Baillon_Decision,14,1630581865,7,1220
t2ciiflg,lcsgtdi5,Outro,Outro_Risk,15,1630581880,15,1220
t2ciiflg,lcsgtdi5,Outro,Domain_Questions_1,16,1630581889,9,1220
t2ciiflg,lcsgtdi5,Outro,Domain_Questions_2,17,1630581907,18,1220
t2ciiflg,qyi19xga,,InitializeParticipant,0,1630581921,NA,3094
t2ciiflg,lcsgtdi5,Outro,Demographic_Questions,18,1630581925,18,1220
t2ciiflg,lcsgtdi5,Outro,CLICCS_Questions,19,1630581983,58,1220
t2ciiflg,a437aind,Intro,Intro_Instructions,2,1630582023,271,750
t2ciiflg,a437aind,Baillon,Baillon_Decision,3,1630582133,110,750
t2ciiflg,a437aind,Baillon,Baillon_Decision,4,1630582168,35,750
t2ciiflg,a437aind,Baillon,Baillon_Decision,5,1630582179,11,750
t2ciiflg,a437aind,Baillon,Baillon_Decision,6,1630582187,8,750
t2ciiflg,a437aind,Baillon,Baillon_Decision,7,1630582193,6,750
t2ciiflg,a437aind,Baillon,Baillon_Decision,8,1630582204,11,750
t2ciiflg,a437aind,Baillon,Baillon_Decision,9,1630582231,27,750
