participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.BaillonQ1,player.BaillonQ2,player.BaillonQ3,player.BaillonQ4,player.BaillonQ5,player.CQ2,player.review_weather,player.review_instructions,player.window_width,player.window_height,player.browser,player.matching_probability,player.pivotal_lottery,player.payment_mechanism,player.random_draw,player.event_decision,player.success,player.is_relevant,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,tu4e1j7x,,1,63,63,terminate,Results,2021-01-13 12:26:19.601275+00:00,1,,,0.00,1,,,,,,8,1,1,16,9,Chrome Test,28,14,Wette,96,E13,1,0,0.00,1,1,jing3te6,,,,,0
2,1bt3adq0,,1,63,63,terminate,Results,2021-01-13 12:26:19.650511+00:00,1,,,0.00,2,,,,,,8,1,1,16,9,Chrome Test,61,30,Wette,5,E2,1,0,0.00,1,1,jing3te6,,,,,0
3,7jny5nkb,,1,63,63,terminate,Results,2021-01-13 12:26:19.673271+00:00,1,,,10.00,3,,,,,,8,1,3,16,9,Chrome Test,16,14,Wette,33,E3,0,0,0.00,1,1,jing3te6,,,,,0
4,xqbgfwwf,,1,63,63,terminate,Results,2021-01-13 12:26:19.696306+00:00,1,,,0.00,4,,,,,,8,1,2,16,9,Chrome Test,42,5,Wette,58,E13,1,0,0.00,1,1,jing3te6,,,,,0
5,f3eq6sen,,1,63,63,terminate,Results,2021-01-13 12:26:19.720212+00:00,1,,,10.00,5,,,,,,8,1,3,16,9,Chrome Test,15,49,Lotterie,39,E2,1,0,0.00,1,1,jing3te6,,,,,0
6,ljkbwfd6,,1,63,63,terminate,Results,2021-01-13 12:26:19.744247+00:00,1,,,10.00,6,,,,,,8,1,1,16,9,Chrome Test,30,19,Wette,16,E13,1,0,0.00,1,1,jing3te6,,,,,0
7,9bbvvn5c,,1,63,63,terminate,Results,2021-01-13 12:26:19.767685+00:00,1,,,10.00,7,,,,,,8,1,1,16,9,Chrome Test,39,64,Lotterie,78,E3,0,0,0.00,1,1,jing3te6,,,,,0
8,yb8cy6ee,,1,63,63,terminate,Results,2021-01-13 12:26:19.790175+00:00,1,,,10.00,8,,,,,,8,2,1,16,9,Chrome Test,67,23,Wette,5,E13,0,0,0.00,1,1,jing3te6,,,,,0
9,ud2ct78f,,1,63,63,terminate,Results,2021-01-13 12:26:19.812564+00:00,1,,,0.00,9,,,,,,8,1,1,16,9,Chrome Test,74,82,Lotterie,53,E2,1,0,0.00,1,1,jing3te6,,,,,0
10,4jndvc1b,,1,63,63,terminate,Results,2021-01-13 12:26:19.836627+00:00,1,,,0.00,10,,,,,,8,1,3,16,9,Chrome Test,56,95,Lotterie,96,E13,0,0,0.00,1,1,jing3te6,,,,,0
11,b0mt52e6,,1,63,63,terminate,Results,2021-01-13 12:26:19.859827+00:00,1,,,0.00,11,,,,,,8,2,2,16,9,Chrome Test,73,39,Wette,88,E13,1,0,0.00,1,1,jing3te6,,,,,0
12,x8rfhnen,,1,63,63,terminate,Results,2021-01-13 12:26:19.883247+00:00,1,,,10.00,12,,,,,,8,2,4,16,9,Chrome Test,11,89,Lotterie,64,E13,1,0,0.00,1,1,jing3te6,,,,,0
13,ittupnam,,1,63,63,terminate,Results,2021-01-13 12:26:19.905602+00:00,1,,,0.00,13,,,,,,8,2,1,16,9,Chrome Test,39,98,Lotterie,51,E13,1,0,0.00,1,1,jing3te6,,,,,0
14,6o6wzs64,,1,63,63,terminate,Results,2021-01-13 12:26:19.929176+00:00,1,,,10.00,14,,,,,,8,2,3,16,9,Chrome Test,38,27,Wette,34,E3,0,0,0.00,1,1,jing3te6,,,,,0
15,9b7nrtng,,1,63,63,terminate,Results,2021-01-13 12:26:19.951568+00:00,1,,,0.00,15,,,,,,8,2,1,16,9,Chrome Test,56,90,Lotterie,0,E23,1,0,0.00,1,1,jing3te6,,,,,0
16,15u6g5z2,,1,63,63,terminate,Results,2021-01-13 12:26:19.974449+00:00,1,,,0.00,16,,,,,,8,2,2,16,9,Chrome Test,34,80,Lotterie,79,E1,1,0,0.00,1,1,jing3te6,,,,,0
17,lvxmo3hp,,1,63,63,terminate,Results,2021-01-13 12:26:19.998436+00:00,1,,,0.00,17,,,,,,8,2,2,16,9,Chrome Test,35,67,Lotterie,8,E13,1,0,0.00,1,1,jing3te6,,,,,0
18,u5qec9y9,,1,63,63,terminate,Results,2021-01-13 12:26:20.022389+00:00,1,,,0.00,18,,,,,,8,2,2,16,9,Chrome Test,13,53,Lotterie,28,E13,1,0,0.00,1,1,jing3te6,,,,,0
19,q2d4cc7w,,1,63,63,terminate,Results,2021-01-13 12:26:20.045434+00:00,1,,,10.00,19,,,,,,8,2,2,16,9,Chrome Test,34,55,Lotterie,97,E1,0,0,0.00,1,1,jing3te6,,,,,0
20,vz4n965p,,1,63,63,terminate,Results,2021-01-13 12:26:20.068771+00:00,1,,,10.00,20,,,,,,8,1,1,16,9,Chrome Test,71,80,Lotterie,2,E12,1,0,0.00,1,1,jing3te6,,,,,0
21,tyvzciwy,,1,63,63,terminate,Results,2021-01-13 12:26:20.095058+00:00,1,,,10.00,21,,,,,,8,1,3,16,9,Chrome Test,31,33,Lotterie,98,E13,0,0,0.00,1,1,jing3te6,,,,,0
22,2zbiewmw,,1,63,63,terminate,Results,2021-01-13 12:26:20.118226+00:00,1,,,0.00,22,,,,,,8,2,1,16,9,Chrome Test,7,41,Lotterie,57,E2,0,0,0.00,1,1,jing3te6,,,,,0
23,n3qfs2ks,,1,63,63,terminate,Results,2021-01-13 12:26:20.143725+00:00,1,,,0.00,23,,,,,,8,2,2,16,9,Chrome Test,58,59,Lotterie,23,E13,1,0,0.00,1,1,jing3te6,,,,,0
24,6unkmqc2,,1,63,63,terminate,Results,2021-01-13 12:26:20.166852+00:00,1,,,10.00,24,,,,,,8,1,4,16,9,Chrome Test,16,73,Lotterie,14,E13,1,0,0.00,1,1,jing3te6,,,,,0
25,awkcp7v8,,1,63,63,terminate,Results,2021-01-13 12:26:20.189396+00:00,1,,,0.00,25,,,,,,8,2,1,16,9,Chrome Test,29,12,Wette,95,E23,1,0,0.00,1,1,jing3te6,,,,,0
26,g9blo0w4,,1,63,63,terminate,Results,2021-01-13 12:26:20.212275+00:00,1,,,10.00,26,,,,,,8,1,3,16,9,Chrome Test,19,83,Lotterie,90,E12,0,0,0.00,1,1,jing3te6,,,,,0
27,hbo0nzcr,,1,63,63,terminate,Results,2021-01-13 12:26:20.323474+00:00,1,,,10.00,27,,,,,,8,1,1,16,9,Chrome Test,19,31,Lotterie,90,E23,0,0,0.00,1,1,jing3te6,,,,,0
28,i9qo2nao,,1,63,63,terminate,Results,2021-01-13 12:26:20.351164+00:00,1,,,10.00,28,,,,,,8,1,3,16,9,Chrome Test,64,25,Wette,8,E1,0,0,0.00,1,1,jing3te6,,,,,0
29,otax0bc0,,1,63,63,terminate,Results,2021-01-13 12:26:20.378394+00:00,1,,,10.00,29,,,,,,8,2,2,16,9,Chrome Test,5,64,Lotterie,59,E23,1,0,0.00,1,1,jing3te6,,,,,0
