participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.Belief,player.Age,player.Gender,player.Education,player.Family,player.Kids,player.Income,player.ZIP,player.Comprehension,player.Usage,player.Temp,player.Accuracy,player.Credibility,player.CLICCS1,player.CLICCS2,player.openText,player.Risk_General,player.Risk_Weather,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,h08ze7ox,,1,22,21,Outro,Results,2021-04-05 19:58:11.014485+00:00,1,,,0.00,1,33,38,not specified,3,widowed,0,1,20149,yes,3,22,4,1,lorem ipsum 1,lorem ipsum 2,hello world!,10,1,0.00,1,1,0kihcn1h,,,,,0
2,brhitvig,,1,22,21,Outro,Results,2021-04-05 19:58:11.068359+00:00,1,,,0.00,2,29,37,not specified,1,widowed,0,5,20149,yes,3,32,2,4,lorem ipsum 1,lorem ipsum 2,hello world!,4,8,0.00,1,1,0kihcn1h,,,,,0
3,thqpfjil,,1,22,21,Outro,Results,2021-04-05 19:58:11.094195+00:00,1,,,10.00,3,20,10,not specified,3,widowed,3,2,20149,yes,3,32,1,1,lorem ipsum 1,lorem ipsum 2,hello world!,4,9,0.00,1,1,0kihcn1h,,,,,0
4,t5i8zz75,,1,22,21,Outro,Results,2021-04-05 19:58:11.119643+00:00,1,,,10.00,4,14,15,not specified,2,widowed,3,5,20149,yes,1,9,1,2,lorem ipsum 1,lorem ipsum 2,hello world!,0,1,0.00,1,1,0kihcn1h,,,,,0
5,i5l5kll2,,1,22,21,Outro,Results,2021-04-05 19:58:11.143414+00:00,1,,,0.00,5,26,45,not specified,2,widowed,3,2,20149,yes,3,33,1,1,lorem ipsum 1,lorem ipsum 2,hello world!,3,0,0.00,1,1,0kihcn1h,,,,,0
6,kazmpuan,,1,22,21,Outro,Results,2021-04-05 19:58:11.167724+00:00,1,,,10.00,6,1,25,not specified,5,widowed,1,1,20149,yes,0,27,4,1,lorem ipsum 1,lorem ipsum 2,hello world!,0,8,0.00,1,1,0kihcn1h,,,,,0
7,jpbx9u9y,,1,22,21,Outro,Results,2021-04-05 19:58:11.191943+00:00,1,,,0.00,7,31,40,not specified,5,widowed,1,3,20149,yes,4,13,3,1,lorem ipsum 1,lorem ipsum 2,hello world!,9,10,0.00,1,1,0kihcn1h,,,,,0
8,af93jvlz,,1,22,21,Outro,Results,2021-04-05 19:58:11.218996+00:00,1,,,10.00,8,1,26,not specified,3,widowed,0,4,20149,yes,1,18,4,1,lorem ipsum 1,lorem ipsum 2,hello world!,3,3,0.00,1,1,0kihcn1h,,,,,0
9,mlzj3smn,,1,22,21,Outro,Results,2021-04-05 19:58:11.242138+00:00,1,,,10.00,9,3,21,not specified,6,widowed,1,5,20149,yes,2,4,3,3,lorem ipsum 1,lorem ipsum 2,hello world!,6,8,0.00,1,1,0kihcn1h,,,,,0
10,krvbilrz,,1,22,21,Outro,Results,2021-04-05 19:58:11.266795+00:00,1,,,0.00,10,29,39,not specified,6,widowed,3,3,20149,yes,5,33,0,3,lorem ipsum 1,lorem ipsum 2,hello world!,1,5,0.00,1,1,0kihcn1h,,,,,0
