participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.review_weather,player.review_instructions,player.matching_probability,player.event_decision,player.payment_mechanism,player.pivotal_lottery,player.pivotal_draw,player.payoff,group.id_in_subsession,subsession.round_number,subsession.pivotal_round,subsession.lottery_success,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,h08ze7ox,,1,22,21,Outro,Results,2021-04-05 19:58:11.014485+00:00,1,,,0.00,1,3,5,97,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
2,brhitvig,,1,22,21,Outro,Results,2021-04-05 19:58:11.068359+00:00,1,,,0.00,2,1,3,4,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
3,thqpfjil,,1,22,21,Outro,Results,2021-04-05 19:58:11.094195+00:00,1,,,10.00,3,2,1,56,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
4,t5i8zz75,,1,22,21,Outro,Results,2021-04-05 19:58:11.119643+00:00,1,,,10.00,4,1,4,23,E3,lottery,53,43,10.00,1,1,1,1,0kihcn1h,,,,,0
5,i5l5kll2,,1,22,21,Outro,Results,2021-04-05 19:58:11.143414+00:00,1,,,0.00,5,1,3,55,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
6,kazmpuan,,1,22,21,Outro,Results,2021-04-05 19:58:11.167724+00:00,1,,,10.00,6,2,1,67,E1,lottery,92,56,10.00,1,1,1,1,0kihcn1h,,,,,0
7,jpbx9u9y,,1,22,21,Outro,Results,2021-04-05 19:58:11.191943+00:00,1,,,0.00,7,5,4,73,E13,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
8,af93jvlz,,1,22,21,Outro,Results,2021-04-05 19:58:11.218996+00:00,1,,,10.00,8,4,0,16,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
9,mlzj3smn,,1,22,21,Outro,Results,2021-04-05 19:58:11.242138+00:00,1,,,10.00,9,3,0,100,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
10,krvbilrz,,1,22,21,Outro,Results,2021-04-05 19:58:11.266795+00:00,1,,,0.00,10,0,0,28,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
11,prpilzbe,,1,22,21,Outro,Results,2021-04-05 19:58:11.289944+00:00,1,,,10.00,11,3,2,22,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
12,66fcypyi,,1,22,21,Outro,Results,2021-04-05 19:58:11.314539+00:00,1,,,0.00,12,0,4,11,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
13,mt2zhjut,,1,22,21,Outro,Results,2021-04-05 19:58:11.391271+00:00,1,,,0.00,13,5,1,82,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
14,sf3u2ovr,,1,22,21,Outro,Results,2021-04-05 19:58:11.414185+00:00,1,,,0.00,14,3,5,23,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
15,k81c0pz3,,1,22,21,Outro,Results,2021-04-05 19:58:11.438321+00:00,1,,,0.00,15,3,5,76,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
16,2a5tyc2v,,1,22,21,Outro,Results,2021-04-05 19:58:11.460931+00:00,1,,,10.00,16,1,4,54,E23,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
17,0w7fxwvp,,1,22,21,Outro,Results,2021-04-05 19:58:11.483954+00:00,1,,,10.00,17,4,5,51,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
18,pdiwzp8o,,1,22,21,Outro,Results,2021-04-05 19:58:11.506406+00:00,1,,,10.00,18,0,5,73,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
19,fea4erj3,,1,22,21,Outro,Results,2021-04-05 19:58:11.528849+00:00,1,,,0.00,19,0,0,60,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
20,z0kf1wov,,1,22,21,Outro,Results,2021-04-05 19:58:11.551132+00:00,1,,,10.00,20,1,5,77,E1,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
21,29zorgu1,,1,22,21,Outro,Results,2021-04-05 19:58:11.574001+00:00,1,,,0.00,21,1,5,28,E1,bet,7,,0.00,1,1,1,1,0kihcn1h,,,,,0
22,huy3olr5,,1,22,21,Outro,Results,2021-04-05 19:58:11.597750+00:00,1,,,10.00,22,4,4,63,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
23,xzakq199,,1,22,21,Outro,Results,2021-04-05 19:58:11.619890+00:00,1,,,10.00,23,5,2,47,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
24,b3hcdcbm,,1,22,21,Outro,Results,2021-04-05 19:58:11.643248+00:00,1,,,10.00,24,4,4,48,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
25,vti4c487,,1,22,21,Outro,Results,2021-04-05 19:58:11.665714+00:00,1,,,0.00,25,1,0,48,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
26,57vc3log,,1,22,21,Outro,Results,2021-04-05 19:58:11.688882+00:00,1,,,0.00,26,3,3,68,E12,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
27,0kl4nog7,,1,22,21,Outro,Results,2021-04-05 19:58:11.711319+00:00,1,,,10.00,27,0,4,82,E3,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
28,tf3x02jg,,1,22,21,Outro,Results,2021-04-05 19:58:11.734083+00:00,1,,,10.00,28,4,4,30,E2,,,,0.00,1,1,1,1,0kihcn1h,,,,,0
