participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.Location,player.Information,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,dunkvj1r,,1,63,63,terminate,Results,2021-01-11 11:48:17.138225+00:00,1,,,0.00,1,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
2,jj73e1du,,1,63,63,terminate,Results,2021-01-11 11:48:17.198683+00:00,1,,,10.00,2,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
3,bo2gg97t,,1,63,63,terminate,Results,2021-01-11 11:48:17.233133+00:00,1,,,0.00,3,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
4,nfg2t4kf,,1,63,63,terminate,Results,2021-01-11 11:48:17.260659+00:00,1,,,0.00,4,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
5,1xgsiat1,,1,63,63,terminate,Results,2021-01-11 11:48:17.291145+00:00,1,,,10.00,5,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
6,0u96a4l2,,1,63,63,terminate,Results,2021-01-11 11:48:17.322994+00:00,1,,,10.00,6,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
7,pdk096jd,,1,63,63,terminate,Results,2021-01-11 11:48:17.352471+00:00,1,,,10.00,7,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
8,qr0mrozu,,1,63,63,terminate,Results,2021-01-11 11:48:17.382375+00:00,1,,,0.00,8,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
9,5zky1kdb,,1,63,63,terminate,Results,2021-01-11 11:48:17.410564+00:00,1,,,10.00,9,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
10,dcj3dw62,,1,63,63,terminate,Results,2021-01-11 11:48:17.438831+00:00,1,,,10.00,10,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
11,1y71c63g,,1,63,63,terminate,Results,2021-01-11 11:48:17.467848+00:00,1,,,0.00,11,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
12,rdplpwia,,1,63,63,terminate,Results,2021-01-11 11:48:17.495890+00:00,1,,,0.00,12,Ilomantsi,interval,0.00,1,1,qbu0rob2,,,,,0
13,7qu3ufmv,,1,63,63,terminate,Results,2021-01-11 11:48:17.523640+00:00,1,,,0.00,13,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
14,z93yhpnq,,1,63,63,terminate,Results,2021-01-11 11:48:17.554038+00:00,1,,,0.00,14,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
15,ihj04dv0,,1,63,63,terminate,Results,2021-01-11 11:48:17.589991+00:00,1,,,0.00,15,Weiskirchen,both,0.00,1,1,qbu0rob2,,,,,0
16,fysjd68d,,1,63,63,terminate,Results,2021-01-11 11:48:17.621609+00:00,1,,,10.00,16,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
17,fadcyfth,,1,63,63,terminate,Results,2021-01-11 11:48:17.651513+00:00,1,,,10.00,17,Ilomantsi,both,0.00,1,1,qbu0rob2,,,,,0
18,ep92i2mx,,1,63,63,terminate,Results,2021-01-11 11:48:17.679964+00:00,1,,,10.00,18,Weiskirchen,best_guess,0.00,1,1,qbu0rob2,,,,,0
19,uiahhg8s,,1,63,63,terminate,Results,2021-01-11 11:48:17.711567+00:00,1,,,10.00,19,Ilomantsi,best_guess,0.00,1,1,qbu0rob2,,,,,0
20,db607iy2,,1,63,63,terminate,Results,2021-01-11 11:48:17.739658+00:00,1,,,0.00,20,Weiskirchen,interval,0.00,1,1,qbu0rob2,,,,,0
