participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.BaillonQ1,player.BaillonQ2,player.BaillonQ3,player.BaillonQ4,player.BaillonQ5,player.CQ2,player.review_weather,player.review_instructions,player.window_width,player.window_height,player.browser,player.matching_probability,player.pivotal_lottery,player.payment_mechanism,player.random_draw,player.event_decision,player.success,player.is_relevant,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,tu4e1j7x,,1,63,63,terminate,Results,2021-01-13 12:26:19.601275+00:00,1,,,0.00,1,,,,,,8,2,0,16,9,Chrome Test,99,89,Wette,30,E12,1,0,0.00,1,1,jing3te6,,,,,0
2,1bt3adq0,,1,63,63,terminate,Results,2021-01-13 12:26:19.650511+00:00,1,,,0.00,2,,,,,,8,2,0,16,9,Chrome Test,39,64,Lotterie,54,E1,1,0,0.00,1,1,jing3te6,,,,,0
3,7jny5nkb,,1,63,63,terminate,Results,2021-01-13 12:26:19.673271+00:00,1,,,10.00,3,,,,,,8,1,0,16,9,Chrome Test,82,97,Lotterie,95,E13,1,0,0.00,1,1,jing3te6,,,,,0
4,xqbgfwwf,,1,63,63,terminate,Results,2021-01-13 12:26:19.696306+00:00,1,,,0.00,4,,,,,,8,1,0,16,9,Chrome Test,96,55,Wette,87,E23,0,0,0.00,1,1,jing3te6,,,,,0
5,f3eq6sen,,1,63,63,terminate,Results,2021-01-13 12:26:19.720212+00:00,1,,,10.00,5,,,,,,8,1,0,16,9,Chrome Test,95,8,Wette,39,E2,0,0,0.00,1,1,jing3te6,,,,,0
6,ljkbwfd6,,1,63,63,terminate,Results,2021-01-13 12:26:19.744247+00:00,1,,,10.00,6,,,,,,8,1,0,16,9,Chrome Test,45,57,Lotterie,41,E3,1,0,0.00,1,1,jing3te6,,,,,0
7,9bbvvn5c,,1,63,63,terminate,Results,2021-01-13 12:26:19.767685+00:00,1,,,10.00,7,,,,,,8,1,0,16,9,Chrome Test,44,19,Wette,57,E3,0,0,0.00,1,1,jing3te6,,,,,0
8,yb8cy6ee,,1,63,63,terminate,Results,2021-01-13 12:26:19.790175+00:00,1,,,10.00,8,,,,,,8,1,0,16,9,Chrome Test,66,46,Wette,63,E1,0,0,0.00,1,1,jing3te6,,,,,0
9,ud2ct78f,,1,63,63,terminate,Results,2021-01-13 12:26:19.812564+00:00,1,,,0.00,9,,,,,,8,2,0,16,9,Chrome Test,76,51,Wette,29,E13,1,0,0.00,1,1,jing3te6,,,,,0
10,4jndvc1b,,1,63,63,terminate,Results,2021-01-13 12:26:19.836627+00:00,1,,,0.00,10,,,,,,8,2,0,16,9,Chrome Test,45,59,Lotterie,15,E12,1,0,0.00,1,1,jing3te6,,,,,0
11,b0mt52e6,,1,63,63,terminate,Results,2021-01-13 12:26:19.859827+00:00,1,,,0.00,11,,,,,,8,1,0,16,9,Chrome Test,64,18,Wette,24,E2,0,0,0.00,1,1,jing3te6,,,,,0
12,x8rfhnen,,1,63,63,terminate,Results,2021-01-13 12:26:19.883247+00:00,1,,,10.00,12,,,,,,8,2,0,16,9,Chrome Test,50,14,Wette,83,E12,1,0,0.00,1,1,jing3te6,,,,,0
13,ittupnam,,1,63,63,terminate,Results,2021-01-13 12:26:19.905602+00:00,1,,,0.00,13,,,,,,8,2,0,16,9,Chrome Test,1,65,Lotterie,63,E13,1,0,0.00,1,1,jing3te6,,,,,0
14,6o6wzs64,,1,63,63,terminate,Results,2021-01-13 12:26:19.929176+00:00,1,,,10.00,14,,,,,,8,2,0,16,9,Chrome Test,2,42,Lotterie,70,E23,0,0,0.00,1,1,jing3te6,,,,,0
15,9b7nrtng,,1,63,63,terminate,Results,2021-01-13 12:26:19.951568+00:00,1,,,0.00,15,,,,,,8,1,0,16,9,Chrome Test,98,57,Wette,89,E12,1,0,0.00,1,1,jing3te6,,,,,0
16,15u6g5z2,,1,63,63,terminate,Results,2021-01-13 12:26:19.974449+00:00,1,,,0.00,16,,,,,,8,2,0,16,9,Chrome Test,3,14,Lotterie,51,E23,0,0,0.00,1,1,jing3te6,,,,,0
17,lvxmo3hp,,1,63,63,terminate,Results,2021-01-13 12:26:19.998436+00:00,1,,,0.00,17,,,,,,8,2,0,16,9,Chrome Test,89,88,Wette,1,E1,1,0,0.00,1,1,jing3te6,,,,,0
18,u5qec9y9,,1,63,63,terminate,Results,2021-01-13 12:26:20.022389+00:00,1,,,0.00,18,,,,,,8,1,0,16,9,Chrome Test,72,53,Wette,74,E2,0,0,0.00,1,1,jing3te6,,,,,0
19,q2d4cc7w,,1,63,63,terminate,Results,2021-01-13 12:26:20.045434+00:00,1,,,10.00,19,,,,,,8,2,0,16,9,Chrome Test,18,44,Lotterie,15,E13,1,0,0.00,1,1,jing3te6,,,,,0
20,vz4n965p,,1,63,63,terminate,Results,2021-01-13 12:26:20.068771+00:00,1,,,10.00,20,,,,,,8,2,0,16,9,Chrome Test,62,95,Lotterie,45,E3,1,1,10.00,1,1,jing3te6,,,,,0
