participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.BaillonQ1,player.BaillonQ2,player.BaillonQ3,player.BaillonQ4,player.BaillonQ5,player.CQ2,player.review_weather,player.review_instructions,player.window_width,player.window_height,player.browser,player.baillon_equivalent,player.pivotal_lottery,player.payment_mechanism,player.random_draw,player.event_decision,player.success,player.is_relevant,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lbhnek4i,,1,63,63,terminate,Results,2021-01-11 11:11:48.461646+00:00,1,,,10.00,1,,,,,,8,2,1,16,9,Chrome Test,91,76,Wette,31,E13,1,0,0.00,1,1,izulz3y4,,,,,0
2,no6dk3na,,1,63,63,terminate,Results,2021-01-11 11:11:48.594871+00:00,1,,,0.00,2,,,,,,8,1,2,16,9,Chrome Test,20,70,Lotterie,7,E23,1,0,0.00,1,1,izulz3y4,,,,,0
3,xf9mpj0t,,1,63,63,terminate,Results,2021-01-11 11:11:48.631303+00:00,1,,,10.00,3,,,,,,8,1,4,16,9,Chrome Test,40,41,Lotterie,67,E3,0,0,0.00,1,1,izulz3y4,,,,,0
4,0hazv8zl,,1,63,63,terminate,Results,2021-01-11 11:11:48.663917+00:00,1,,,0.00,4,,,,,,8,1,2,16,9,Chrome Test,90,92,Lotterie,71,E2,1,0,0.00,1,1,izulz3y4,,,,,0
5,9e3i2qun,,1,63,63,terminate,Results,2021-01-11 11:11:48.692080+00:00,1,,,0.00,5,,,,,,8,1,4,16,9,Chrome Test,53,67,Lotterie,75,E3,0,0,0.00,1,1,izulz3y4,,,,,0
6,w3ntmjn1,,1,63,63,terminate,Results,2021-01-11 11:11:48.719258+00:00,1,,,0.00,6,,,,,,8,1,1,16,9,Chrome Test,46,30,Wette,41,E2,0,0,0.00,1,1,izulz3y4,,,,,0
7,ovyuuhxq,,1,63,63,terminate,Results,2021-01-11 11:11:48.746181+00:00,1,,,0.00,7,,,,,,8,1,2,16,9,Chrome Test,73,43,Wette,74,E3,0,0,0.00,1,1,izulz3y4,,,,,0
8,gxottea7,,1,63,63,terminate,Results,2021-01-11 11:11:48.776397+00:00,1,,,10.00,8,,,,,,8,2,2,16,9,Chrome Test,9,56,Lotterie,53,E23,1,0,0.00,1,1,izulz3y4,,,,,0
9,zuymhebg,,1,63,63,terminate,Results,2021-01-11 11:11:48.805514+00:00,1,,,10.00,9,,,,,,8,1,2,16,9,Chrome Test,30,85,Lotterie,70,E1,1,0,0.00,1,1,izulz3y4,,,,,0
10,7yk2xpe8,,1,63,63,terminate,Results,2021-01-11 11:11:48.834340+00:00,1,,,10.00,10,,,,,,8,2,4,16,9,Chrome Test,75,56,Wette,57,E12,1,0,0.00,1,1,izulz3y4,,,,,0
11,zw8ewlxu,,1,63,63,terminate,Results,2021-01-11 11:11:48.862884+00:00,1,,,10.00,11,,,,,,8,2,1,16,9,Chrome Test,98,89,Wette,90,E23,0,0,0.00,1,1,izulz3y4,,,,,0
12,3rn6xzeo,,1,63,63,terminate,Results,2021-01-11 11:11:48.893868+00:00,1,,,0.00,12,,,,,,8,1,2,16,9,Chrome Test,40,89,Lotterie,16,E13,1,0,0.00,1,1,izulz3y4,,,,,0
13,e06tej5z,,1,63,63,terminate,Results,2021-01-11 11:11:48.922300+00:00,1,,,10.00,13,,,,,,8,1,4,16,9,Chrome Test,1,38,Lotterie,79,E1,0,0,0.00,1,1,izulz3y4,,,,,0
14,c4whrv9b,,1,63,63,terminate,Results,2021-01-11 11:11:48.949961+00:00,1,,,10.00,14,,,,,,8,2,3,16,9,Chrome Test,21,85,Lotterie,0,E1,1,0,0.00,1,1,izulz3y4,,,,,0
