participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.review_weather,player.review_instructions,player.window_width,player.window_height,player.browser,player.FEV1,player.lower_bound,player.diff_LB,player.costs_LB,player.chance_LB,player.best_guess,player.diff_BG,player.costs_BG,player.chance_BG,player.upper_bound,player.diff_UB,player.costs_UB,player.chance_UB,player.total_chance,player.random_draw,player.success,player.is_relevant,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lbhnek4i,,1,63,63,terminate,Results,2021-01-11 11:11:48.461646+00:00,1,,,10.00,1,1,4,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,13.0,10.0,30.0,20.0,14.0,11.0,33.0,17.0,16,8,1,,0.00,1,1,izulz3y4,,,,,0
2,no6dk3na,,1,63,63,terminate,Results,2021-01-11 11:11:48.594871+00:00,1,,,0.00,2,2,1,16,9,Chrome Test,,9.0,0.0,0.0,50.0,12.0,3.0,9.0,41.0,13.0,4.0,12.0,38.0,86,52,1,,0.00,1,1,izulz3y4,,,,,0
3,xf9mpj0t,,1,63,63,terminate,Results,2021-01-11 11:11:48.631303+00:00,1,,,10.00,3,2,1,16,9,Chrome Test,,8.0,5.0,45.0,5.0,10.0,7.0,21.0,29.0,13.0,10.0,30.0,20.0,36,13,1,1,10.00,1,1,izulz3y4,,,,,0
4,0hazv8zl,,1,63,63,terminate,Results,2021-01-11 11:11:48.663917+00:00,1,,,0.00,4,2,2,16,9,Chrome Test,,14.0,5.0,45.0,5.0,16.0,7.0,21.0,29.0,19.0,10.0,30.0,20.0,36,34,1,,0.00,1,1,izulz3y4,,,,,0
5,9e3i2qun,,1,63,63,terminate,Results,2021-01-11 11:11:48.692080+00:00,1,,,0.00,5,2,3,16,9,Chrome Test,,15.0,12.0,108.0,-58.0,16.0,13.0,39.0,11.0,18.0,15.0,45.0,5.0,0,52,0,,0.00,1,1,izulz3y4,,,,,0
6,w3ntmjn1,,1,63,63,terminate,Results,2021-01-11 11:11:48.719258+00:00,1,,,0.00,6,1,1,16,9,Chrome Test,,6.0,3.0,27.0,23.0,8.0,5.0,15.0,35.0,11.0,8.0,24.0,26.0,57,40,1,,0.00,1,1,izulz3y4,,,,,0
7,ovyuuhxq,,1,63,63,terminate,Results,2021-01-11 11:11:48.746181+00:00,1,,,0.00,7,2,2,16,9,Chrome Test,,15.0,6.0,54.0,-4.0,16.0,7.0,21.0,29.0,17.0,8.0,24.0,26.0,34,54,0,,0.00,1,1,izulz3y4,,,,,0
8,gxottea7,,1,63,63,terminate,Results,2021-01-11 11:11:48.776397+00:00,1,,,10.00,8,2,1,16,9,Chrome Test,,10.0,1.0,9.0,41.0,11.0,2.0,6.0,44.0,12.0,3.0,9.0,41.0,84,29,1,,0.00,1,1,izulz3y4,,,,,0
9,zuymhebg,,1,63,63,terminate,Results,2021-01-11 11:11:48.805514+00:00,1,,,10.00,9,1,3,16,9,Chrome Test,,10.0,1.0,9.0,41.0,11.0,2.0,6.0,44.0,13.0,4.0,12.0,38.0,82,83,0,,0.00,1,1,izulz3y4,,,,,0
10,7yk2xpe8,,1,63,63,terminate,Results,2021-01-11 11:11:48.834340+00:00,1,,,10.00,10,1,2,16,9,Chrome Test,,14.0,11.0,99.0,-49.0,15.0,12.0,36.0,14.0,17.0,14.0,42.0,8.0,0,6,0,,0.00,1,1,izulz3y4,,,,,0
11,zw8ewlxu,,1,63,63,terminate,Results,2021-01-11 11:11:48.862884+00:00,1,,,10.00,11,2,4,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,11.0,8.0,24.0,26.0,14.0,11.0,33.0,17.0,20,69,0,,0.00,1,1,izulz3y4,,,,,0
12,3rn6xzeo,,1,63,63,terminate,Results,2021-01-11 11:11:48.893868+00:00,1,,,0.00,12,1,4,16,9,Chrome Test,,7.0,-2.0,6.0,44.0,9.0,0.0,0.0,50.0,12.0,3.0,9.0,41.0,90,25,1,,0.00,1,1,izulz3y4,,,,,0
13,e06tej5z,,1,63,63,terminate,Results,2021-01-11 11:11:48.922300+00:00,1,,,10.00,13,1,2,16,9,Chrome Test,,7.0,4.0,36.0,14.0,10.0,7.0,21.0,29.0,11.0,8.0,24.0,26.0,46,57,0,,0.00,1,1,izulz3y4,,,,,0
14,c4whrv9b,,1,63,63,terminate,Results,2021-01-11 11:11:48.949961+00:00,1,,,10.00,14,2,1,16,9,Chrome Test,,11.0,8.0,72.0,-22.0,12.0,9.0,27.0,23.0,14.0,11.0,33.0,17.0,12,93,0,,0.00,1,1,izulz3y4,,,,,0
15,pvoiad0c,,1,63,63,terminate,Results,2021-01-11 11:11:48.977742+00:00,1,,,10.00,15,1,4,16,9,Chrome Test,,7.0,-2.0,6.0,44.0,10.0,1.0,3.0,47.0,11.0,2.0,6.0,44.0,90,0,1,,0.00,1,1,izulz3y4,,,,,0
16,zwilwcx6,,1,63,63,terminate,Results,2021-01-11 11:11:49.005540+00:00,1,,,0.00,16,2,1,16,9,Chrome Test,,15.0,12.0,108.0,-58.0,16.0,13.0,39.0,11.0,17.0,14.0,42.0,8.0,0,34,0,,0.00,1,1,izulz3y4,,,,,0
17,skvswx5q,,1,63,63,terminate,Results,2021-01-11 11:11:49.033952+00:00,1,,,10.00,17,1,1,16,9,Chrome Test,,8.0,-1.0,3.0,47.0,11.0,2.0,6.0,44.0,14.0,5.0,15.0,35.0,84,6,1,,0.00,1,1,izulz3y4,,,,,0
18,h8xxm0t1,,1,63,63,terminate,Results,2021-01-11 11:11:49.060270+00:00,1,,,10.00,18,2,1,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,16.0,13.0,39.0,11.0,17.0,14.0,42.0,8.0,0,20,0,,0.00,1,1,izulz3y4,,,,,0
19,gicioedr,,1,63,63,terminate,Results,2021-01-11 11:11:49.089963+00:00,1,,,0.00,19,2,3,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,15.0,12.0,36.0,14.0,18.0,15.0,45.0,5.0,0,83,0,,0.00,1,1,izulz3y4,,,,,0
20,yzuammki,,1,63,63,terminate,Results,2021-01-11 11:11:49.118514+00:00,1,,,0.00,20,2,3,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,12.0,9.0,27.0,23.0,15.0,12.0,36.0,14.0,16,21,0,,0.00,1,1,izulz3y4,,,,,0
21,tyrz1xxz,,1,63,63,terminate,Results,2021-01-11 11:11:49.145350+00:00,1,,,0.00,21,1,2,16,9,Chrome Test,,6.0,3.0,27.0,23.0,8.0,5.0,15.0,35.0,9.0,6.0,18.0,32.0,60,90,0,,0.00,1,1,izulz3y4,,,,,0
22,ks24r2lj,,1,63,63,terminate,Results,2021-01-11 11:11:49.174852+00:00,1,,,0.00,22,2,2,16,9,Chrome Test,,12.0,9.0,81.0,-31.0,15.0,12.0,36.0,14.0,16.0,13.0,39.0,11.0,0,8,0,,0.00,1,1,izulz3y4,,,,,0
23,b4hrbvvf,,1,63,63,terminate,Results,2021-01-11 11:11:49.206863+00:00,1,,,0.00,23,1,2,16,9,Chrome Test,,11.0,2.0,18.0,32.0,12.0,3.0,9.0,41.0,15.0,6.0,18.0,32.0,70,72,0,1,0.00,1,1,izulz3y4,,,,,0
24,n3elx8fj,,1,63,63,terminate,Results,2021-01-11 11:11:49.307856+00:00,1,,,10.00,24,1,2,16,9,Chrome Test,,8.0,5.0,45.0,5.0,9.0,6.0,18.0,32.0,11.0,8.0,24.0,26.0,42,14,1,1,10.00,1,1,izulz3y4,,,,,0
25,nsjjgmmu,,1,63,63,terminate,Results,2021-01-11 11:11:49.338135+00:00,1,,,0.00,25,1,1,16,9,Chrome Test,,7.0,4.0,36.0,14.0,9.0,6.0,18.0,32.0,11.0,8.0,24.0,26.0,48,24,1,,0.00,1,1,izulz3y4,,,,,0
26,s899en9g,,1,63,63,terminate,Results,2021-01-11 11:11:49.379710+00:00,1,,,10.00,26,2,1,16,9,Chrome Test,,13.0,4.0,36.0,14.0,15.0,6.0,18.0,32.0,17.0,8.0,24.0,26.0,48,51,0,,0.00,1,1,izulz3y4,,,,,0
27,27841yy1,,1,63,63,terminate,Results,2021-01-11 11:11:49.409300+00:00,1,,,0.00,27,2,4,16,9,Chrome Test,,9.0,6.0,54.0,-4.0,12.0,9.0,27.0,23.0,14.0,11.0,33.0,17.0,24,39,0,1,0.00,1,1,izulz3y4,,,,,0
28,m2d7ztla,,1,63,63,terminate,Results,2021-01-11 11:11:49.440436+00:00,1,,,0.00,28,1,4,16,9,Chrome Test,,14.0,5.0,45.0,5.0,16.0,7.0,21.0,29.0,18.0,9.0,27.0,23.0,38,57,0,,0.00,1,1,izulz3y4,,,,,0
29,eh2a0r3c,,1,63,63,terminate,Results,2021-01-11 11:11:49.468329+00:00,1,,,0.00,29,1,3,16,9,Chrome Test,,6.0,3.0,27.0,23.0,9.0,6.0,18.0,32.0,11.0,8.0,24.0,26.0,54,25,1,,0.00,1,1,izulz3y4,,,,,0
30,il4g6njw,,1,63,63,terminate,Results,2021-01-11 11:11:49.494947+00:00,1,,,10.00,30,2,4,16,9,Chrome Test,,8.0,-1.0,3.0,47.0,9.0,0.0,0.0,50.0,10.0,1.0,3.0,47.0,96,9,1,,0.00,1,1,izulz3y4,,,,,0
31,238w8cx8,,1,63,63,terminate,Results,2021-01-11 11:11:49.520963+00:00,1,,,10.00,31,1,3,16,9,Chrome Test,,7.0,4.0,36.0,14.0,10.0,7.0,21.0,29.0,13.0,10.0,30.0,20.0,42,53,0,,0.00,1,1,izulz3y4,,,,,0
32,hpsg8adc,,1,63,63,terminate,Results,2021-01-11 11:11:49.546706+00:00,1,,,0.00,32,2,2,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,15.0,12.0,36.0,14.0,17.0,14.0,42.0,8.0,0,39,0,,0.00,1,1,izulz3y4,,,,,0
33,s7g3k96k,,1,63,63,terminate,Results,2021-01-11 11:11:49.577094+00:00,1,,,10.00,33,1,1,16,9,Chrome Test,,7.0,4.0,36.0,14.0,8.0,5.0,15.0,35.0,11.0,8.0,24.0,26.0,50,28,1,,0.00,1,1,izulz3y4,,,,,0
34,f6q3p50o,,1,63,63,terminate,Results,2021-01-11 11:11:49.605563+00:00,1,,,10.00,34,2,2,16,9,Chrome Test,,8.0,5.0,45.0,5.0,10.0,7.0,21.0,29.0,11.0,8.0,24.0,26.0,40,98,0,,0.00,1,1,izulz3y4,,,,,0
35,069bb8rl,,1,63,63,terminate,Results,2021-01-11 11:11:49.636216+00:00,1,,,10.00,35,2,4,16,9,Chrome Test,,14.0,5.0,45.0,5.0,16.0,7.0,21.0,29.0,18.0,9.0,27.0,23.0,38,16,1,1,10.00,1,1,izulz3y4,,,,,0
36,1thq0ael,,1,63,63,terminate,Results,2021-01-11 11:11:49.662251+00:00,1,,,10.00,36,1,1,16,9,Chrome Test,,6.0,-3.0,9.0,41.0,8.0,-1.0,3.0,47.0,11.0,2.0,6.0,44.0,88,56,1,,0.00,1,1,izulz3y4,,,,,0
37,8xe0xf96,,1,63,63,terminate,Results,2021-01-11 11:11:49.700612+00:00,1,,,0.00,37,2,2,16,9,Chrome Test,,11.0,8.0,72.0,-22.0,12.0,9.0,27.0,23.0,13.0,10.0,30.0,20.0,15,2,1,,0.00,1,1,izulz3y4,,,,,0
38,5jkh3r9o,,1,63,63,terminate,Results,2021-01-11 11:11:49.730924+00:00,1,,,10.00,38,1,3,16,9,Chrome Test,,8.0,-1.0,3.0,47.0,10.0,1.0,3.0,47.0,12.0,3.0,9.0,41.0,90,44,1,,0.00,1,1,izulz3y4,,,,,0
