participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.review_weather,player.review_instructions,player.window_width,player.window_height,player.browser,player.FEV1,player.lower_bound,player.diff_LB,player.costs_LB,player.chance_LB,player.best_guess,player.diff_BG,player.costs_BG,player.chance_BG,player.upper_bound,player.diff_UB,player.costs_UB,player.chance_UB,player.total_chance,player.random_draw,player.success,player.is_relevant,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lbhnek4i,,1,63,63,terminate,Results,2021-01-11 11:11:48.461646+00:00,1,,,10.00,1,1,0,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,12.0,9.0,27.0,23.0,15.0,12.0,36.0,14.0,16,51,0,,0.00,1,1,izulz3y4,,,,,0
2,no6dk3na,,1,63,63,terminate,Results,2021-01-11 11:11:48.594871+00:00,1,,,0.00,2,1,0,16,9,Chrome Test,,7.0,-2.0,6.0,44.0,8.0,-1.0,3.0,47.0,11.0,2.0,6.0,44.0,90,23,1,,0.00,1,1,izulz3y4,,,,,0
3,xf9mpj0t,,1,63,63,terminate,Results,2021-01-11 11:11:48.631303+00:00,1,,,10.00,3,1,0,16,9,Chrome Test,,13.0,10.0,90.0,-40.0,14.0,11.0,33.0,17.0,15.0,12.0,36.0,14.0,0,67,0,,0.00,1,1,izulz3y4,,,,,0
4,0hazv8zl,,1,63,63,terminate,Results,2021-01-11 11:11:48.663917+00:00,1,,,0.00,4,1,0,16,9,Chrome Test,,7.0,-2.0,6.0,44.0,9.0,0.0,0.0,50.0,11.0,2.0,6.0,44.0,92,17,1,,0.00,1,1,izulz3y4,,,,,0
5,9e3i2qun,,1,63,63,terminate,Results,2021-01-11 11:11:48.692080+00:00,1,,,0.00,5,1,0,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,11.0,8.0,24.0,26.0,12.0,9.0,27.0,23.0,24,79,0,1,0.00,1,1,izulz3y4,,,,,0
6,w3ntmjn1,,1,63,63,terminate,Results,2021-01-11 11:11:48.719258+00:00,1,,,0.00,6,1,0,16,9,Chrome Test,,12.0,9.0,81.0,-31.0,13.0,10.0,30.0,20.0,15.0,12.0,36.0,14.0,2,52,0,1,0.00,1,1,izulz3y4,,,,,0
7,ovyuuhxq,,1,63,63,terminate,Results,2021-01-11 11:11:48.746181+00:00,1,,,0.00,7,1,0,16,9,Chrome Test,,13.0,4.0,36.0,14.0,14.0,5.0,15.0,35.0,17.0,8.0,24.0,26.0,50,55,0,1,0.00,1,1,izulz3y4,,,,,0
8,gxottea7,,1,63,63,terminate,Results,2021-01-11 11:11:48.776397+00:00,1,,,10.00,8,2,0,16,9,Chrome Test,,10.0,1.0,9.0,41.0,11.0,2.0,6.0,44.0,14.0,5.0,15.0,35.0,80,1,1,,0.00,1,1,izulz3y4,,,,,0
9,zuymhebg,,1,63,63,terminate,Results,2021-01-11 11:11:48.805514+00:00,1,,,10.00,9,2,0,16,9,Chrome Test,,10.0,1.0,9.0,41.0,12.0,3.0,9.0,41.0,13.0,4.0,12.0,38.0,80,21,1,,0.00,1,1,izulz3y4,,,,,0
10,7yk2xpe8,,1,63,63,terminate,Results,2021-01-11 11:11:48.834340+00:00,1,,,10.00,10,1,0,16,9,Chrome Test,,10.0,7.0,63.0,-13.0,12.0,9.0,27.0,23.0,14.0,11.0,33.0,17.0,18,50,0,,0.00,1,1,izulz3y4,,,,,0
