participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.Age,player.Gender,player.Education,player.Income,player.Comprehension,player.Usage,player.Accuracy,player.Authenticity,player.Credibility,player.CLICCS1,player.CLICCS2,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lbhnek4i,,1,63,63,terminate,Results,2021-01-11 11:11:48.461646+00:00,1,,,10.00,1,52,diverse,uni,39667,yes,2,0,-2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
2,no6dk3na,,1,63,63,terminate,Results,2021-01-11 11:11:48.594871+00:00,1,,,0.00,2,67,diverse,uni,47073,yes,4,-1,-1,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
3,xf9mpj0t,,1,63,63,terminate,Results,2021-01-11 11:11:48.631303+00:00,1,,,10.00,3,64,diverse,uni,56973,yes,1,1,-1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
4,0hazv8zl,,1,63,63,terminate,Results,2021-01-11 11:11:48.663917+00:00,1,,,0.00,4,24,diverse,uni,42883,yes,0,0,2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
5,9e3i2qun,,1,63,63,terminate,Results,2021-01-11 11:11:48.692080+00:00,1,,,0.00,5,41,diverse,uni,65482,yes,5,1,1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
6,w3ntmjn1,,1,63,63,terminate,Results,2021-01-11 11:11:48.719258+00:00,1,,,0.00,6,39,diverse,uni,64741,yes,1,-1,2,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
7,ovyuuhxq,,1,63,63,terminate,Results,2021-01-11 11:11:48.746181+00:00,1,,,0.00,7,92,diverse,uni,31608,yes,4,-2,-1,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
8,gxottea7,,1,63,63,terminate,Results,2021-01-11 11:11:48.776397+00:00,1,,,10.00,8,54,diverse,uni,48796,yes,1,0,-1,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
9,zuymhebg,,1,63,63,terminate,Results,2021-01-11 11:11:48.805514+00:00,1,,,10.00,9,90,diverse,uni,68137,yes,3,1,0,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
10,7yk2xpe8,,1,63,63,terminate,Results,2021-01-11 11:11:48.834340+00:00,1,,,10.00,10,72,diverse,uni,49632,yes,2,1,2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
11,zw8ewlxu,,1,63,63,terminate,Results,2021-01-11 11:11:48.862884+00:00,1,,,10.00,11,93,diverse,uni,44363,yes,5,2,-2,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
12,3rn6xzeo,,1,63,63,terminate,Results,2021-01-11 11:11:48.893868+00:00,1,,,0.00,12,35,diverse,uni,49970,yes,3,2,2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
13,e06tej5z,,1,63,63,terminate,Results,2021-01-11 11:11:48.922300+00:00,1,,,10.00,13,47,diverse,uni,31952,yes,3,2,0,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
14,c4whrv9b,,1,63,63,terminate,Results,2021-01-11 11:11:48.949961+00:00,1,,,10.00,14,56,diverse,uni,33670,yes,0,1,-1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
15,pvoiad0c,,1,63,63,terminate,Results,2021-01-11 11:11:48.977742+00:00,1,,,10.00,15,95,diverse,uni,33145,yes,4,1,0,2,test1,test2,0.00,1,1,izulz3y4,,,,,0
16,zwilwcx6,,1,63,63,terminate,Results,2021-01-11 11:11:49.005540+00:00,1,,,0.00,16,74,diverse,uni,30287,yes,3,-2,2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
17,skvswx5q,,1,63,63,terminate,Results,2021-01-11 11:11:49.033952+00:00,1,,,10.00,17,24,diverse,uni,37766,yes,4,-2,2,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
18,h8xxm0t1,,1,63,63,terminate,Results,2021-01-11 11:11:49.060270+00:00,1,,,10.00,18,80,diverse,uni,44925,yes,1,1,-1,0,test1,test2,0.00,1,1,izulz3y4,,,,,0
19,gicioedr,,1,63,63,terminate,Results,2021-01-11 11:11:49.089963+00:00,1,,,0.00,19,55,diverse,uni,41904,yes,4,-2,2,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
20,yzuammki,,1,63,63,terminate,Results,2021-01-11 11:11:49.118514+00:00,1,,,0.00,20,27,diverse,uni,33096,yes,1,1,0,1,test1,test2,0.00,1,1,izulz3y4,,,,,0
21,tyrz1xxz,,1,63,63,terminate,Results,2021-01-11 11:11:49.145350+00:00,1,,,0.00,21,65,diverse,uni,50771,yes,4,1,2,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
22,ks24r2lj,,1,63,63,terminate,Results,2021-01-11 11:11:49.174852+00:00,1,,,0.00,22,30,diverse,uni,55535,yes,2,1,0,-1,test1,test2,0.00,1,1,izulz3y4,,,,,0
23,b4hrbvvf,,1,63,63,terminate,Results,2021-01-11 11:11:49.206863+00:00,1,,,0.00,23,39,diverse,uni,44238,yes,5,-2,0,-2,test1,test2,0.00,1,1,izulz3y4,,,,,0
